name,frame,angle,dilation,regions,pathCells,fill,segments,failure
apple,portrait-52x92,45,1,1,760,0.1589,47,""
apple,portrait-52x92,45,2,1,596,0.1246,36,""
apple,portrait-52x92,60,1,1,784,0.1639,55,""
apple,portrait-52x92,60,2,1,660,0.1380,38,""
apple,portrait-52x92,75,1,1,992,0.2074,74,""
apple,portrait-52x92,75,2,1,872,0.1823,58,""
apple,portrait-52x92,90,1,1,1560,0.3261,86,""
apple,portrait-52x92,90,2,1,1352,0.2826,91,""
apple,portrait-52x92,105,1,1,992,0.2074,56,""
apple,portrait-52x92,105,2,1,872,0.1823,69,""
apple,portrait-52x92,120,1,1,788,0.1647,66,""
apple,portrait-52x92,120,2,1,660,0.1380,36,""
apple,portrait-52x92,135,1,1,760,0.1589,51,""
apple,portrait-52x92,135,2,1,596,0.1246,44,""
apple,portrait-52x92,150,1,1,784,0.1639,48,""
apple,portrait-52x92,150,2,1,660,0.1380,27,""
apple,portrait-52x92,165,1,1,992,0.2074,82,""
apple,portrait-52x92,165,2,1,872,0.1823,62,""
banana,square-78,0,1,2,1516,0.2492,88,""
banana,square-78,0,2,2,1196,0.1966,75,""
banana,square-78,15,1,2,968,0.1591,61,""
banana,square-78,15,2,2,708,0.1164,43,""
banana,square-78,30,1,2,756,0.1243,52,""
banana,square-78,30,2,2,548,0.0901,38,""
banana,square-78,45,1,2,680,0.1118,45,""
banana,square-78,45,2,2,484,0.0796,32,""
banana,square-78,60,1,2,736,0.1210,46,""
banana,square-78,60,2,2,512,0.0842,39,""
banana,square-78,75,1,2,952,0.1565,63,""
banana,square-78,75,2,2,704,0.1157,40,""
banana,square-78,90,1,2,1516,0.2492,89,""
banana,square-78,90,2,2,1196,0.1966,86,""
banana,square-78,105,1,2,968,0.1591,63,""
banana,square-78,105,2,2,708,0.1164,51,""
banana,square-78,120,1,2,756,0.1243,44,""
banana,square-78,120,2,2,548,0.0901,49,""
banana,square-78,135,1,2,680,0.1118,39,""
banana,square-78,135,2,2,484,0.0796,27,""
banana,square-78,150,1,2,736,0.1210,48,""
banana,square-78,150,2,2,512,0.0842,30,""
banana,square-78,165,1,2,952,0.1565,64,""
banana,square-78,165,2,2,704,0.1157,38,""
banana,square-60,0,1,2,856,0.2378,57,""
banana,square-60,0,2,2,576,0.1600,36,""
banana,square-60,15,1,2,512,0.1422,39,""
banana,square-60,15,2,2,312,0.0867,29,""
banana,square-60,30,1,2,400,0.1111,32,""
banana,square-60,30,2,2,236,0.0656,22,""
banana,square-60,45,1,2,368,0.1022,28,""
banana,square-60,45,2,2,176,0.0489,19,""
banana,square-60,60,1,2,396,0.1100,21,""
banana,square-60,60,2,2,204,0.0567,13,""
banana,square-60,75,1,2,488,0.1356,44,""
banana,square-60,75,2,2,308,0.0856,26,""
banana,square-60,90,1,2,856,0.2378,53,""
banana,square-60,90,2,2,576,0.1600,41,""
banana,square-60,105,1,2,512,0.1422,31,""
banana,square-60,105,2,2,312,0.0867,9,""
banana,square-60,120,1,2,400,0.1111,24,""
banana,square-60,120,2,2,236,0.0656,14,""
banana,square-60,135,1,2,368,0.1022,27,""
banana,square-60,135,2,2,176,0.0489,12,""
banana,square-60,150,1,2,396,0.1100,25,""
banana,square-60,150,2,2,204,0.0567,12,""
banana,square-60,165,1,2,488,0.1356,45,""
banana,square-60,165,2,2,308,0.0856,16,""
banana,portrait-72x120,0,1,2,1284,0.1486,94,""
banana,portrait-72x120,0,2,2,980,0.1134,82,""
banana,portrait-72x120,15,1,2,824,0.0954,54,""
banana,portrait-72x120,15,2,2,540,0.0625,34,""
banana,portrait-72x120,30,1,2,628,0.0727,40,""
banana,portrait-72x120,30,2,2,400,0.0463,25,""
banana,portrait-72x120,45,1,2,596,0.0690,58,""
banana,portrait-72x120,45,2,2,376,0.0435,19,""
banana,portrait-72x120,60,1,2,592,0.0685,55,""
banana,portrait-72x120,60,2,2,392,0.0454,34,""
banana,portrait-72x120,75,1,2,788,0.0912,61,""
banana,portrait-72x120,75,2,2,572,0.0662,41,""
banana,portrait-72x120,90,1,2,1284,0.1486,78,""
banana,portrait-72x120,90,2,2,980,0.1134,70,""
banana,portrait-72x120,105,1,2,824,0.0954,67,""
banana,portrait-72x120,105,2,2,540,0.0625,42,""
banana,portrait-72x120,120,1,2,628,0.0727,34,""
banana,portrait-72x120,120,2,2,400,0.0463,24,""
banana,portrait-72x120,135,1,2,596,0.0690,45,""
banana,portrait-72x120,135,2,2,376,0.0435,23,""
banana,portrait-72x120,150,1,2,592,0.0685,45,""
banana,portrait-72x120,150,2,2,392,0.0454,24,""
