name,faces,regions,pathCells,fill,segments,verdict
panel-top-dashed,1,1,5308,0.8725,387,single-face
parasol,1,1,1856,0.3051,120,single-face
pause-octagon,1,1,4316,0.7094,287,single-face
pencil-line,2,2,1568,0.2577,116,multi-face
phi,2,2,1840,0.3024,118,multi-face
pi-square,1,1,4980,0.8185,366,single-face
pilcrow-square,2,2,4836,0.7949,335,multi-face
play,1,1,2900,0.4767,188,single-face
plus-square,1,1,5216,0.8573,400,single-face
power-circle,1,1,3912,0.6430,252,single-face
pyramid,2,2,2592,0.4260,154,multi-face
radio-tower,2,2,260,0.0427,13,thin
receipt-pound-sterling,1,1,3684,0.6055,256,single-face
recycle,0,0,0,0.0000,0,failed
remove-formatting,0,0,0,0.0000,0,failed
ribbon,5,5,1768,0.2906,121,multi-face
rotate-ccw-key,1,1,148,0.0243,8,thin
rows-3,3,3,5052,0.8304,352,multi-face
satellite-dish,1,1,820,0.1348,42,thin
scale-3d,2,2,288,0.0473,13,thin
scan-search,1,1,388,0.0638,25,thin
scooter,2,2,384,0.0631,30,thin
search-x,1,1,3032,0.4984,186,single-face
server-crash,0,0,0,0.0000,0,failed
shelving-unit,4,4,2920,0.4799,211,multi-face
shield-keyhole,2,2,3096,0.5089,211,multi-face
ship-wheel,9,9,1948,0.3202,114,multi-face
shrub,1,1,2776,0.4563,189,single-face
signal-medium,0,0,0,0.0000,0,failed
slash-square,1,1,5264,0.8652,390,single-face
snail,3,2,2880,0.4734,197,multi-face
sparkle,1,1,1316,0.2163,93,single-face
split-square-vertical,0,0,0,0.0000,0,failed
square-arrow-down-right,1,1,5160,0.8481,378,single-face
square-arrow-up-left,1,1,5160,0.8481,328,single-face
square-chevron-left,1,1,5236,0.8606,404,single-face
square-dashed-top-solid,0,0,0,0.0000,0,failed
square-menu,1,1,4920,0.8087,337,single-face
square-pilcrow,2,2,4836,0.7949,335,multi-face
square-split-vertical,0,0,0,0.0000,0,failed
squares-exclude,0,0,0,0.0000,0,failed
star-half,0,0,0,0.0000,0,failed
sticky-note,2,2,5044,0.8291,320,multi-face
stretch-horizontal,2,2,2864,0.4707,187,multi-face
sun-snow,0,0,0,0.0000,0,failed
table,6,6,4864,0.7995,336,multi-face
tablet-smartphone,1,1,1744,0.2867,128,single-face
tally-5,0,0,0,0.0000,0,failed
test-tube-diagonal,2,2,1384,0.2275,102,multi-face
text-quote,0,0,0,0.0000,0,failed
thumbs-up,2,2,3276,0.5385,222,multi-face
timeline,3,3,1576,0.2590,97,multi-face
torus,2,2,3336,0.5483,224,multi-face
train-front-tunnel,2,2,1504,0.2472,103,multi-face
trending-down,0,0,0,0.0000,0,failed
turkish-lira,0,0,0,0.0000,0,failed
umbrella-off,1,1,464,0.0763,29,thin
unlink-2,0,0,0,0.0000,0,failed
user-check,1,1,592,0.0973,36,thin
user-pen,2,2,1132,0.1861,73,multi-face
user-round-plus,1,1,956,0.1571,72,single-face
users,1,1,592,0.0973,36,thin
vegan,4,4,3852,0.6331,298,multi-face
view,2,2,1492,0.2452,99,multi-face
wallet-2,0,0,0,0.0000,0,failed
waves,0,0,0,0.0000,0,failed
