cellIndex,gridSize,meanPieceLength,pieceLengthVariance,minPieceLength,bendProbability,minStraightRun,fillFraction,seedCount,failureCount,failedSeeds,generationMsMean,generationMsMin,generationMsMax,attemptsMean,attemptsMin,attemptsMax,segmentCountMean,segmentCountMin,segmentCountMax,coverageMean,coverageMin,coverageMax,meanSegmentLengthMean,meanSegmentLengthMin,meanSegmentLengthMax,bendRateMean,bendRateMin,bendRateMax,dagDepthMean,dagDepthMin,dagDepthMax,meanFreeSetSizeMean,meanFreeSetSizeMin,meanFreeSetSizeMax,minFreeSetSizeMean,minFreeSetSizeMin,minFreeSetSizeMax,edgeCountMean,edgeCountMin,edgeCountMax,shortOfTargetMean,shortOfTargetMin,shortOfTargetMax,belowMinimumMean,belowMinimumMin,belowMinimumMax,wholeRunEscapesMean,wholeRunEscapesMin,wholeRunEscapesMax,shortStraightRunsMean,shortStraightRunsMin,shortStraightRunsMax
0,20,6,8,2,0.35,2,0.45,30,0,,2.7222383666666605,1.3228050000000167,11.787163000000021,1,1,1,23,17,30,1,1,1,7.5811611386507956,5.428571428571429,9.555555555555555,0.4037636112918321,0.3275862068965517,0.46629213483146065,6.4,4,10,4.621181601795434,2.5714285714285716,6.521739130434782,1.4666666666666666,1,3,32.93333333333333,17,60,1.6666666666666667,0,3,0,0,0,0,0,0,0,0,0
1,30,6,8,2,0.35,2,0.45,30,0,,4.848469000000004,3.75631199999998,6.25323800000001,1,1,1,53.9,45,63,1,1,1,7.621263927282885,6.451612903225806,9.217391304347826,0.37723402619034757,0.3341232227488152,0.43838862559241704,10.7,7,17,6.7573759998105665,4.688524590163935,8.962962962962964,1.2,1,2,125.43333333333334,81,183,3.3,0,6,0,0,0,0,0,0,0,0,0
2,40,6,8,2,0.35,2,0.45,30,0,,12.222496800000016,9.105574000000047,18.10105699999997,1,1,1,96.8,82,117,1,1,1,7.604420595804061,6.3931623931623935,8.975609756097562,0.3652307383515568,0.32590529247910865,0.3953168044077135,13.966666666666667,10,20,9.790035113175747,5.844444444444444,13.479166666666666,1.3,1,3,297.3666666666667,219,402,5.6,2,11,0,0,0,0,0,0,0.03333333333333333,0,1
3,60,6,8,2,0.35,2,0.45,30,0,,34.54707946666668,31.61837700000001,40.83861100000013,1,1,1,219.3,202,241,1,1,1,7.601848577731723,7.004149377593361,8.237623762376238,0.3579412412546725,0.343937575030012,0.3813160987074031,24.4,18,33,13.827411845224297,9.427350427350428,19.38589211618257,1.3666666666666667,1,4,1018.0666666666667,831,1197,11.3,5,20,0,0,0,0,0,0,0.1,0,1
4,80,6,8,2,0.35,2,0.45,30,0,,80.67182653333334,71.77993000000015,101.90210699999989,1,1,1,388.26666666666665,365,419,1,1,1,7.620872520715423,6.988066825775657,8.185286103542234,0.35583505600895726,0.337644656228727,0.3730587440918298,34,25,50,18.382719242343917,13.195928753180661,25.83028720626632,1.3,1,3,2380.266666666667,1947,2860,17.633333333333333,11,27,0,0,0,0,0,0,0.03333333333333333,0,1
5,100,6,8,2,0.35,2,0.45,30,0,,153.18668886666663,127.8313020000005,214.38817299999937,1,1,1,607.3333333333334,544,639,1,1,1,7.626777792438275,7.179968701095461,8.426470588235293,0.3549238047863692,0.3436008676789588,0.37037037037037035,42.233333333333334,29,55,22.842141770150484,18.676470588235293,31.944805194805195,1.3333333333333333,1,2,4750.8,4118,5354,27.666666666666668,16,44,0,0,0,0,0,0,0.23333333333333334,0,4
