cellIndex,gridSize,meanPieceLength,pieceLengthVariance,minPieceLength,bendProbability,minStraightRun,fillFraction,seedCount,failureCount,failedSeeds,generationMsMean,generationMsMin,generationMsMax,attemptsMean,attemptsMin,attemptsMax,segmentCountMean,segmentCountMin,segmentCountMax,coverageMean,coverageMin,coverageMax,meanSegmentLengthMean,meanSegmentLengthMin,meanSegmentLengthMax,bendRateMean,bendRateMin,bendRateMax,dagDepthMean,dagDepthMin,dagDepthMax,meanFreeSetSizeMean,meanFreeSetSizeMin,meanFreeSetSizeMax,minFreeSetSizeMean,minFreeSetSizeMin,minFreeSetSizeMax,edgeCountMean,edgeCountMin,edgeCountMax,shortOfTargetMean,shortOfTargetMin,shortOfTargetMax,belowMinimumMean,belowMinimumMin,belowMinimumMax,wholeRunEscapesMean,wholeRunEscapesMin,wholeRunEscapesMax,shortStraightRunsMean,shortStraightRunsMin,shortStraightRunsMax
0,40,6,8,1,0.35,2,0.45,20,0,,17.833008849999995,11.940131999999949,59.428395999999964,1,1,1,101.2,83,118,1,1,1,7.2890719709639695,6.271186440677966,8.91566265060241,0.3698261989956771,0.3310626702997275,0.3953168044077135,14.5,9,20,10.246009732556626,5.928571428571429,13.617647058823529,1.3,1,2,325.35,207,443,5.1,1,9,0,0,0,0,0,0,0,0,0
1,40,6,8,2,0.35,2,0.45,20,0,,11.960438850000003,8.56557799999996,19.446196999999984,1,1,1,95.45,82,117,1,1,1,7.692423600143522,6.3931623931623935,8.975609756097562,0.3698261989956771,0.3310626702997275,0.3953168044077135,13.45,10,20,9.751199801323287,5.844444444444444,13.479166666666666,1.4,1,3,294.55,219,373,5.25,2,11,0,0,0,0,0,0,0.05,0,1
2,40,6,8,3,0.35,2,0.45,20,0,,10.488963100000001,9.07518200000004,12.038886999999932,1,1,1,90.8,75,109,1,1,1,8.087410326692808,6.752293577981652,9.706666666666667,0.3698261989956771,0.3310626702997275,0.3953168044077135,15.15,11,20,8.679224162790831,6.2926829268292686,10.511111111111111,1.25,1,2,282.55,222,345,4.75,2,9,0,0,0,0,0,0,0.05,0,1
3,40,6,8,4,0.35,2,0.45,20,0,,10.104826050000009,8.017409000000043,12.034307000000126,1,1,1,88.55,72,106,1,1,1,8.305063431351481,6.943396226415095,10.166666666666666,0.3698261989956771,0.3310626702997275,0.3953168044077135,14.6,11,19,8.914363589813266,6.513888888888889,11.660377358490566,1.2,1,3,278.6,203,345,5.75,2,10,0,0,0,0,0,0,0.2,0,2
4,40,6,8,6,0.35,2,0.45,20,0,,9.18753005000001,7.762827000000016,10.458609999999908,1,1,1,79.1,70,90,1,1,1,9.269797472089662,8.177777777777777,10.571428571428571,0.3698261989956771,0.3310626702997275,0.3953168044077135,13.8,9,18,8.473188612621588,5.62962962962963,11.864864864864865,1.35,1,4,240,175,307,4.75,1,9,0,0,0,0.05,0,1,0.5,0,4
