cellIndex,gridSize,meanPieceLength,pieceLengthVariance,minPieceLength,bendProbability,minStraightRun,fillFraction,seedCount,failureCount,failedSeeds,generationMsMean,generationMsMin,generationMsMax,attemptsMean,attemptsMin,attemptsMax,segmentCountMean,segmentCountMin,segmentCountMax,coverageMean,coverageMin,coverageMax,meanSegmentLengthMean,meanSegmentLengthMin,meanSegmentLengthMax,bendRateMean,bendRateMin,bendRateMax,dagDepthMean,dagDepthMin,dagDepthMax,meanFreeSetSizeMean,meanFreeSetSizeMin,meanFreeSetSizeMax,minFreeSetSizeMean,minFreeSetSizeMin,minFreeSetSizeMax,edgeCountMean,edgeCountMin,edgeCountMax,shortOfTargetMean,shortOfTargetMin,shortOfTargetMax,belowMinimumMean,belowMinimumMin,belowMinimumMax,wholeRunEscapesMean,wholeRunEscapesMin,wholeRunEscapesMax,shortStraightRunsMean,shortStraightRunsMin,shortStraightRunsMax
0,20,11,20,2,0.75,2,0.45,40,0,,2.270672225000003,0.9573120000000017,9.89162200000004,1,1,1,12.7,7,25,1,1,1,14.80029073411968,6.56,25.142857142857142,0.4375480900779446,0.3620689655172414,0.5,4.725,2,8,3.189753532651559,1.5454545454545454,6.642857142857143,1.6,1,9,14.8,2,32,1.925,0,5,0,0,0,0,0,0,0.05,0,1
1,30,11,20,2,0.75,2,0.45,40,0,,3.4370237250000004,2.3308250000000044,4.4879549999999995,1,1,1,29.25,21,42,1,1,1,14.389127136681765,9.523809523809524,19.61904761904762,0.41265398384546514,0.3706467661691542,0.4517766497461929,7.125,4,12,5.103527770748032,2.730769230769231,8.95,1.475,1,4,52.95,30,80,3.65,1,8,0,0,0,0,0,0,0.025,0,1
2,40,11,20,2,0.75,2,0.45,40,0,,6.973961125000002,5.0189719999999625,9.17784000000006,1,1,1,51.25,42,63,1,1,1,14.442068391133336,11.682539682539682,17.523809523809526,0.4100298884609147,0.3788300835654596,0.426027397260274,10.025,7,14,6.793761791507296,4.48,10.636363636363637,1.4,1,3,127.05,84,212,5.15,1,11,0,0,0,0,0,0,0.05,0,1
3,60,11,20,2,0.75,2,0.45,40,0,,21.30335010000001,16.797324000000117,24.93886999999995,1,1,1,113.4,92,132,1,1,1,14.801886990128517,12.646153846153846,18,0.4052560700848521,0.3859543817527011,0.42143727161997563,15.25,10,27,10.92807522475353,6.010416666666667,15.878504672897197,1.475,1,3,394.6,294,557,10.25,4,16,0,0,0,0,0,0,0.225,0,2
4,78,11,20,2,0.75,2,0.45,40,0,,45.117428125000025,37.94083300000011,52.51557299999968,1,1,1,191.3,169,225,1,1,1,14.78793865364037,12.551111111111112,16.647398843930635,0.4031856597862631,0.38663823738450603,0.42326909350463954,20.225,14,29,13.5261572265421,10.56281407035176,17.577540106951872,1.425,1,3,874.95,695,1076,17.15,9,28,0,0,0,0,0,0,0.775,0,3
5,90,11,20,2,0.75,2,0.45,40,0,,68.88370789999999,58.21847600000001,80.45302100000026,1,1,1,257.725,219,294,1,1,1,14.63106999087537,12.680272108843537,17.095890410958905,0.4040455019571974,0.3876906891109942,0.4169751454257007,22.85,16,31,16.48664648622158,12.146825396825397,23.313432835820894,1.45,1,4,1359.775,1147,1749,22.525,12,35,0,0,0,0,0,0,0.575,0,4
6,100,11,20,2,0.75,2,0.45,40,0,,91.54213057500006,78.17226699999992,105.10618000000068,1,1,1,316.775,293,343,1,1,1,14.64855564150906,13.247813411078717,15.83617747440273,0.4021455054380583,0.38611713665943603,0.42178649237472765,26.275,18,34,17.967667002796382,14.340983606557376,21.658461538461538,1.375,1,3,1864.55,1569,2331,27.375,12,43,0,0,0,0,0,0,0.925,0,4
